impl,n,p,t,overall,computation,other
stencil-2d,5000,1,8,5.833426,5.098344,0.735082
stencil-2d,10000,1,8,21.754757,19.151893,2.602864
stencil-2d,20000,1,8,84.432395,74.566286,9.866109
stencil-2d,40000,1,8,421.157689,384.387612,36.770077
stencil-2d-pth,5000,1,8,5.721792,5.009838,0.711954
stencil-2d-pth,5000,2,8,4.759222,4.031851,0.727371
stencil-2d-pth,5000,4,8,3.955849,3.242708,0.713141
stencil-2d-pth,5000,8,8,3.795898,3.003834,0.792064
stencil-2d-pth,5000,16,8,3.75864,2.961572,0.797068
stencil-2d-pth,10000,1,8,21.174545,18.464834,2.709711
stencil-2d-pth,10000,2,8,16.672184,14.025969,2.646215
stencil-2d-pth,10000,4,8,14.290558,11.589427,2.701131
stencil-2d-pth,10000,8,8,13.4776,10.853084,2.624516
stencil-2d-pth,10000,16,8,12.628088,10.007057,2.621031
stencil-2d-pth,20000,1,8,127.076396,108.074978,19.001418
stencil-2d-pth,20000,2,8,69.197222,59.274733,9.922489
stencil-2d-pth,20000,4,8,128.983422,119.11688,9.866542
stencil-2d-pth,20000,8,8,48.760712,39.224318,9.536394
stencil-2d-pth,20000,16,8,44.83807,36.035277,8.802793
stencil-2d-pth,40000,1,8,462.273325,364.833571,97.439754
stencil-2d-pth,40000,2,8,278.060608,241.894961,36.165647
stencil-2d-pth,40000,4,8,388.094235,245.759325,142.33491
stencil-2d-pth,40000,8,8,237.001696,199.350932,37.650764
stencil-2d-pth,40000,16,8,242.222236,205.308038,36.914198
stencil-2d-hybrid,5000,1,8,3.605230,2.483876,1.121354
stencil-2d-hybrid,5000,2,8,2.075604,1.249031,.826573
stencil-2d-hybrid,5000,4,8,1.490756,0.636708,.854048
stencil-2d-hybrid,5000,8,8,1.153912,0.320194,.833718
stencil-2d-hybrid,5000,16,8,0.978879,0.164425,.814454
stencil-2d-hybrid,10000,1,8,12.853789,9.959817,2.893972
stencil-2d-hybrid,10000,2,8,8.009265,5.009509,2.999756
stencil-2d-hybrid,10000,4,8,5.526136,2.530238,2.995898
stencil-2d-hybrid,10000,8,8,4.160101,1.267948,2.892153
stencil-2d-hybrid,10000,16,8,3.545953,0.641405,2.904548
stencil-2d-hybrid,20000,1,8,50.348113,39.868551,10.479562
stencil-2d-hybrid,20000,2,8,30.825866,20.022391,10.803475
stencil-2d-hybrid,20000,4,8,20.271240,10.104865,10.166375
stencil-2d-hybrid,20000,8,8,15.517325,5.069135,10.448190
stencil-2d-hybrid,20000,16,8,12.968900,2.557658,10.411242
stencil-2d-hybrid,40000,1,8,211.810681,168.864387,42.946294
stencil-2d-hybrid,40000,2,8,192.577938,82.825349,109.752589
stencil-2d-hybrid,40000,4,8,82.112338,40.529028,41.583310
stencil-2d-hybrid,40000,8,8,58.734054,20.254265,38.479789
stencil-2d-hybrid,40000,16,8,51.372745,10.194518,41.178227
stencil-2d-omp,5000,1,8,5.887723,5.161077,0.726646
stencil-2d-omp,5000,2,8,4.670516,3.908973,0.761543
stencil-2d-omp,5000,4,8,3.968818,3.237365,0.731453
stencil-2d-omp,5000,8,8,3.672565,2.954856,0.717709
stencil-2d-omp,5000,16,8,3.525773,2.807853,0.71792
stencil-2d-omp,10000,1,8,21.740455,19.255817,2.484638
stencil-2d-omp,10000,2,8,17.054463,14.532412,2.522051
stencil-2d-omp,10000,4,8,14.025066,11.480967,2.544099
stencil-2d-omp,10000,8,8,13.113235,10.492414,2.620821
stencil-2d-omp,10000,16,8,62.019652,59.51631,2.503342
stencil-2d-omp,20000,1,8,82.762691,73.504166,9.258525
stencil-2d-omp,20000,2,8,67.44888,57.733028,9.715852
stencil-2d-omp,20000,4,8,53.547663,44.351854,9.195809
stencil-2d-omp,20000,8,8,51.813513,38.777409,13.036104
stencil-2d-omp,20000,16,8,62.42415,44.215694,18.208456
stencil-2d-omp,40000,1,8,392.695211,350.370321,42.32489
stencil-2d-omp,40000,2,8,359.958939,269.398522,90.560417
stencil-2d-omp,40000,4,8,289.345573,175.171509,114.174064
stencil-2d-omp,40000,8,8,236.781194,196.362658,40.418536
stencil-2d-omp,40000,16,8,241.262146,200.471943,40.790203
stencil-2d-mpi,5000,1,8,3.261528,2.452041,.809487
stencil-2d-mpi,5000,2,8,2.089162,1.227389,.861773
stencil-2d-mpi,5000,4,8,1.494162,0.642780,.851382
stencil-2d-mpi,5000,8,8,1.222733,0.340711,.882022
stencil-2d-mpi,5000,16,8,1.100617,0.187911,.912706
stencil-2d-mpi,10000,1,8,12.632892,9.777465,2.855427
stencil-2d-mpi,10000,2,8,7.853748,4.884074,2.969674
stencil-2d-mpi,10000,4,8,5.560997,2.482658,3.078339
stencil-2d-mpi,10000,8,8,4.270778,1.254566,3.016212
stencil-2d-mpi,10000,16,8,3.615964,0.645284,2.970680
stencil-2d-mpi,20000,1,8,49.796373,39.185047,10.611326
stencil-2d-mpi,20000,2,8,30.603430,19.595943,11.007487
stencil-2d-mpi,20000,4,8,20.677275,9.887390,10.789885
stencil-2d-mpi,20000,8,8,15.828099,4.936475,10.891624
stencil-2d-mpi,20000,16,8,13.422881,2.508572,10.914309
stencil-2d-mpi,40000,1,8,225.039837,171.501594,53.538243
stencil-2d-mpi,40000,2,8,145.896745,86.574975,59.321770
stencil-2d-mpi,40000,4,8,84.901539,42.292288,42.609251
stencil-2d-mpi,40000,8,8,62.343458,20.743284,41.600174
stencil-2d-mpi,40000,16,8,90.637059,10.156131,80.480928
